id	user	date	date_kind	lon	lat	accuracy	url	title	user_id	found_via	date_raw
17284720	Benoît Prieur	2003	taken	105.857778	21.024167		https://commons.wikimedia.org/?curid=17284720	File:Hanoi Opera House - 2003.jpg	1321769	category-tree	2003
14638091	Bùi Thế Tâm	2009-09-26T08:54:51	taken	105.905556	21.008333		https://commons.wikimedia.org/?curid=14638091	File:ThoKhoi TamQuan.JPG		category-tree (vi.wp transfer)	2009:09:26 08:54:51
37249119	Cccefalon	2011-05-09T10:52:03	taken	105.853365	21.031695		https://commons.wikimedia.org/?curid=37249119	File:Hanoi Vietnam Thang-Long-Water-Puppet-Theatre-01.jpg	1544168	category-tree	2011:05:09 10:52:03
49606754	Cccefalon	2011-05-09T11:04:48	taken	105.853365	21.031695		https://commons.wikimedia.org/?curid=49606754	File:Hanoi Vietnam Shrine-at-Hoàn-Kiếm-Lake-01.jpg	1544168	category-tree	2011:05:09 11:04:48
37249190	Cccefalon	2011-05-09T11:38:15	taken	105.852388	21.030725		https://commons.wikimedia.org/?curid=37249190	File:Hanoi Vietnam Temple-of-the-Jade-Mountain-01.jpg	1544168	category-tree	2011:05:09 11:38:15
49559249	Cccefalon	2011-05-10T08:46:51	taken	105.832651	21.035591		https://commons.wikimedia.org/?curid=49559249	File:Hanoi Vietnam Ho-Chi-Minh-Museum-01.jpg	1544168	category-tree	2011:05:10 08:46:51
49576877	Cccefalon	2011-05-10T08:52:06	taken	105.832651	21.035591		https://commons.wikimedia.org/?curid=49576877	File:Hanoi Vietnam Ho-Chi-Minh-Museum-02.jpg	1544168	category-tree	2011:05:10 08:52:06
49577421	Cccefalon	2011-05-10T09:45:25	taken	105.834641	21.036747		https://commons.wikimedia.org/?curid=49577421	File:Hanoi Vietnam Mausoleum-of-Ho-Chi-Minh-03.jpg	1544168	category-tree	2011:05:10 09:45:25
37247106	Cccefalon	2011-05-10T09:47:47	taken	105.834641	21.036747		https://commons.wikimedia.org/?curid=37247106	File:Hanoi Vietnam Mausoleum-of-Ho-Chi-Minh-02.jpg	1544168	category-tree	2011:05:10 09:47:47
40535728	Cccefalon	2011-05-10T10:41:13	taken	105.840260	21.035217		https://commons.wikimedia.org/?curid=40535728	File:Hanoi Vietnam Đoan-môn-01.jpg	1544168	category-tree	2011:05:10 10:41:13
37247271	Cccefalon	2011-05-10T10:50:55	taken	105.821353	21.020238		https://commons.wikimedia.org/?curid=37247271	File:Hanoi Vietnam The-omnipresent-plastic-chairs-01.jpg	1544168	category-tree	2011:05:10 10:50:55
40535788	Cccefalon	2011-05-10T11:24:11	taken	105.840260	21.035217		https://commons.wikimedia.org/?curid=40535788	File:Hanoi Vietnam Citadel-of-Hanoi-01.jpg	1544168	text-search	2011:05:10 11:24:11
37247323	Cccefalon	2011-05-10T11:29:33	taken	105.821353	21.020238		https://commons.wikimedia.org/?curid=37247323	File:Hanoi Vietnam Waiting-at-the-red-lights-01.jpg	1544168	text-search	2011:05:10 11:29:33
37247051	Cccefalon	2011-05-10T11:34:07	taken	105.834641	21.036747		https://commons.wikimedia.org/?curid=37247051	File:Hanoi Vietnam Mausoleum-of-Ho-Chi-Minh-01.jpg	1544168	category-tree	2011:05:10 11:34:07
37247783	Cccefalon	2011-05-10T11:42:01	taken	105.821353	21.020238		https://commons.wikimedia.org/?curid=37247783	File:Hanoi Vietnam Waiting-at-the-red-lights-02.jpg	1544168	text-search	2011:05:10 11:42:01
