id	source	raw_lat	raw_lon	verdict
7636391	object-location	21.023744	105.856143	ok
14638091	object-location	21.00833333	105.90555556	ok
135952127	object-location	21.0208459	105.8519134	ok
40536422	object-location	21.020238	105.821353	ok
40536448	object-location	21.020238	105.821353	ok
40536585	object-location	21.020238	105.821353	ok
2907128	object-location	21.03166667	105.83941667	ok
37247051	object-location	21.036747	105.834641	ok
37247106	object-location	21.036747	105.834641	ok
37247271	object-location	21.020238	105.821353	ok
37249119	object-location	21.031695	105.853365	ok
37249190	object-location	21.030725	105.852388	ok
40535728	object-location	21.035217	105.84026	ok
40536676	object-location	21.020238	105.821353	ok
49382729	object-location	21.0315688	105.8512676	ok
49559249	object-location	21.035591	105.832651	ok
49576877	object-location	21.035591	105.832651	ok
49577421	object-location	21.036747	105.834641	ok
49606754	object-location	21.031695	105.853365	ok
88564363	object-location	21.0367	105.8347	ok
62661094	exif		105.83621615543889	rejected
62738260	exif	20.968428729102776		rejected
62738261	exif	20.968428729102776		rejected
40536628	object-location	21.020238	105.821353	ok
62661259	exif		105.850247796625	rejected
62661377	exif		105.85023547522722	rejected
66864338	exif		105.85352361202222	rejected
66865133	exif		105.85457922890832	rejected
62737613	exif		105.8144886698611	rejected
62658444	exif		105.81707607954749	rejected
66929541	exif	20.976064978166665		rejected
66929542	exif	20.976064978166665		rejected
66929543	exif	20.976064978166665		rejected
66929544	exif		105.91454727116667	rejected
66874480	exif		105.85389375686665	rejected
62738415	exif	21.021012514830556		rejected
89175100	object-location	21.0372398	105.7830885	ok
17284720	object-location	21.024167	105.857778	ok
66958037	exif		105.85707958241666	rejected
37247783	object-location	21.020238	105.821353	ok
37247323	object-location	21.020238	105.821353	ok
40536194	object-location	21.020238	105.821353	ok
57880506	exif	10.803233333333335	106.7489	ok
67073683	exif		105.92262498877223	rejected
199653416	exif	21.0300746	105.8440485	ok
199653415	exif	21.0300819	105.84402089999999	ok
54070909	exif	21.321736666666666	103.91931833333334	ok
113372104	exif	10.866230555555555	106.80250555555556	ok
57880391	exif	10.816202777777779	106.7574	ok
66874481	exif		105.85389375686665	rejected
105754936	exif	20.91198888888889	107.0176861111111	ok
145578830	exif	37.33925555555556	-121.88392777777779	ok
57497022	exif	10.837794444444445	106.76744722222222	ok
66874526	exif		105.85389375686665	rejected
66874527	exif		105.8538458962	rejected
163608599	object-location	21.02931283	105.85431239	ok
163557981	object-location	21.02931283	105.85431239	ok
66874568	exif		105.8538458962	rejected
66874569	exif		105.85556552745277	rejected
66874567	exif		105.8538458962	rejected
112811349	object-location	21.02786	105.8523	ok
62660733	exif	21.03006664663889		rejected
50247240	exif		105.84599800408333	rejected
6341602	object-location	21.02786	105.8523	ok
62524974	exif	53.13564972222222	7.029135277777778	ok
10732643	object-location	21.02786	105.8523	ok
66864747	exif		105.85389375686665	rejected
66864730	exif		105.85326754488055	rejected
66864731	exif		105.85457922890832	rejected
66864729	exif		105.85347583517499	rejected
66864751	exif		105.85584699176388	rejected
66864755	exif		105.85933864116666	rejected
66864740	exif		105.85048416629444	rejected
62661493	exif		105.85412861779444	rejected
62526560	exif	53.135530555555555	7.028936944444444	ok
66864752	exif		105.85933864116666	rejected
66864749	exif		105.85389375686665	rejected
66864744	exif		105.85048416629444	rejected
66864748	exif		105.85389375686665	rejected
66864750	exif		105.85584699176388	rejected
66864998	exif		105.85326754488055	rejected
66865016	exif		105.85204294882777	rejected
66864999	exif		105.85326754488055	rejected
5627409	object-location	21.02786	105.8523	ok
3189924	object-location	21.02786	105.8523	ok
3848535	object-location	21.02786	105.8523	ok
66874376	exif		105.85204294882777	rejected
2994954	object-location	21.02786	105.8523	ok
10732633	object-location	21.02786	105.8523	ok
184763887	exif	30.239808333333333	120.13934444444445	ok
151016666	exif	30.234024	120.145105	ok
90519050	exif	30.24487166666667	120.153525	ok
90519058	exif	30.247731666666667	120.154535	ok
90519052	exif	30.2331	120.14401333333333	ok
90519049	exif	30.232985	120.14381333333333	ok
90519045	exif	30.242018333333334	120.13977333333334	ok
90519056	exif	30.244598333333332	120.15059	ok
90519055	exif	30.241975	120.14099833333333	ok
90519047	exif	30.241751666666666	120.14193166666666	ok
134444744	exif	10.749927777777778	106.65075833333334	ok
134444731	exif	10.749927777777778	106.65075833333334	ok
134444626	exif	10.749097222222222	106.65126111111111	ok
134444594	exif	10.749108333333332	106.65147222222222	ok
134444616	exif	10.749097222222222	106.65126111111111	ok
134444643	exif	10.749097222222222	106.65126111111111	ok
134444677	exif	10.749558333333333	106.65066666666667	ok
192876268	exif	30.24841111111111	120.13243055555554	ok
134444755	exif	10.749927777777778	106.65075833333334	ok
134444520	exif	10.749422222222222	106.6514138888889	ok
134444398	exif	10.749444444444444	106.65149722222223	ok
134444655	exif	10.749238888888888	106.65105555555556	ok
134444705	exif	10.749266666666665	106.65060555555556	ok
134444584	exif	10.749424999999999	106.65142222222222	ok
134444416	exif	10.749419444444444	106.65144166666667	ok
82437375	exif	26.09647777777778	119.28266944444444	ok
134444560	exif	10.749422222222222	106.6514138888889	ok
30609437	exif	25.21244722222222	-80.85118888888888	ok
192876303	exif	30.240375	120.14541666666668	ok
192876358	exif	30.253055555555555	120.15735000000001	ok
49466641	exif	30.23204611111111	120.13961027777779	ok
192876228	exif	30.238830555555555	120.13552777777778	ok
49466633	exif	30.2529125	120.13974761111112	ok
