id	user	date	date_kind	lon	lat	accuracy	url	title	user_id	had_coord_entry
158835426	GeographBot	2022-10-16	taken	-2.244090	53.484589		https://commons.wikimedia.org/?curid=158835426	File:Part of Manchester's old quarter - geograph.org.uk - 7313433.jpg	910182	yes
99642803	Dosseman	2010-10-02T13:12:25	taken	35.924027	35.357027		https://commons.wikimedia.org/?curid=99642803	File:Jeble gate to old quarter 0946.jpg	1957737	yes
108765115	Donald Trung	2021-08-14T16:58:50	taken	4.889842	52.370377		https://commons.wikimedia.org/?curid=108765115	File:Hanoi Old Quarter, Amsterdam (2021) 02.jpg	6592656	yes
108765131	Donald Trung	2021-08-14T16:59:09	taken	4.889762	52.370293		https://commons.wikimedia.org/?curid=108765131	File:Hanoi Old Quarter, Amsterdam (2021) 04.jpg	6592656	yes
108765121	Donald Trung	2021-08-14T16:58:46	taken	4.889842	52.370377		https://commons.wikimedia.org/?curid=108765121	File:Hanoi Old Quarter, Amsterdam (2021) 01.jpg	6592656	yes
108765118	Donald Trung	2021-08-14T16:59:04	taken	4.889762	52.370293		https://commons.wikimedia.org/?curid=108765118	File:Hanoi Old Quarter, Amsterdam (2021) 03.jpg	6592656	yes
9153016	GeographBot	2005-10-08T13:18:29	taken	-1.092000	53.193500		https://commons.wikimedia.org/?curid=9153016	File:Clipstone Old Quarter - geograph.org.uk - 62424.jpg	910182	yes
76089515	MichalPL	2019-01-24T15:32:35	taken	19.026389	50.253889		https://commons.wikimedia.org/?curid=76089515	File:Jagiellońska 36 Street building in Katowice, Jan 2019.jpg	6800100	yes
154736306	GeographBot	2021-08-10	taken	-0.262396	52.410172		https://commons.wikimedia.org/?curid=154736306	File:Looking towards the Old Quarter - geograph.org.uk - 6929428.jpg	910182	yes
159064658	GeographBot	2022-10-11T11:57:32	taken	-2.589293	51.454049		https://commons.wikimedia.org/?curid=159064658	File:Fire plug in the old quarter - geograph.org.uk - 7336497.jpg	910182	yes
13394574	GeographBot	2008-03-18	taken	-1.097300	53.190410		https://commons.wikimedia.org/?curid=13394574	File:Sherwood Forest - Clipstone Old Quarter - geograph.org.uk - 729868.jpg	910182	yes
13394577	GeographBot	2008-03-18	taken	-1.103200	53.192610		https://commons.wikimedia.org/?curid=13394577	File:Sherwood Forest - Clipstone Old Quarter - geograph.org.uk - 729906.jpg	910182	yes
13394575	GeographBot	2008-03-18	taken	-1.093100	53.193620		https://commons.wikimedia.org/?curid=13394575	File:Sherwood Forest - Clipstone Old Quarter - geograph.org.uk - 729881.jpg	910182	yes
13394576	GeographBot	2008-03-18	taken	-1.093000	53.191460		https://commons.wikimedia.org/?curid=13394576	File:Sherwood Forest - Clipstone Old Quarter - geograph.org.uk - 729892.jpg	910182	yes
178065662	Argo Navis	2025-11-08T11:12:26	taken	16.251256	43.517654		https://commons.wikimedia.org/?curid=178065662	File:Romanic house at Gradska 36 street in Trogir 20251108 12.jpg	34694	yes
13531521	GeographBot	2008-06-14	taken	-3.990500	55.734850		https://commons.wikimedia.org/?curid=13531521	File:Steps off the old Quarter Rd - geograph.org.uk - 844629.jpg	910182	yes
178065663	Argo Navis	2025-11-08T11:13:22	taken	16.251075	43.517455		https://commons.wikimedia.org/?curid=178065663	File:Romanic house at Gradska 36 street in Trogir 20251108 13.jpg	34694	yes
