user	date	lon	lat	geoprivacy
Cccefalon	2013-05-25	13.739723	51.051743	open
Cccefalon	2013-05-25	13.741520	51.058163	open
Cccefalon	2013-05-25	13.741628	51.058102	open
Cccefalon	2013-05-25	13.741622	51.051923	open
Cccefalon	2013-05-25	13.741633	51.051952	open
Cccefalon	2013-05-25	13.735823	51.054042	open
Cccefalon	2013-08-21	116.043434	4.787890	open
Cccefalon	2013-08-21	115.945072	4.875982	open
Cccefalon	2013-08-21	116.044121	4.785239	open
Cccefalon	2013-08-21	116.008673	4.828773	open
Cccefalon	2013-09-07	116.075937	5.979060	open
Cccefalon	2013-09-07	118.120389	5.838435	open
Cccefalon	2013-12-31	118.119941	5.838667	open
Cccefalon	2014-01-02	118.099141	5.841684	open
Cccefalon	2014-03-29	9.334613	48.552620	open
Cccefalon	2014-03-29	10.159229	48.610366	open
Cccefalon	2014-03-29	10.163416	48.603634	open
Cccefalon	2014-04-17	7.182510	50.896351	open
Cccefalon	2014-04-19	1.109930	49.433594	open
Cccefalon	2014-04-19	1.095083	49.440179	open
Cccefalon	2014-04-30T09:13:41	115.050000	5.033330	open
Cccefalon	2014-05-19	115.981955	5.693912	open
Cccefalon	2014-05-19	116.091357	5.420339	open
Cccefalon	2014-05-21	117.952936	4.256366	open
Cccefalon	2014-05-28	116.594770	6.003689	open
Cccefalon	2014-06-06	101.717520	3.176575	open
Cccefalon	2014-06-06	101.703406	3.138213	open
Cccefalon	2014-07-19	3.224847	51.208223	open
Cccefalon	2014-08-09	10.335066	50.966444	open
Cccefalon	2014-08-10	10.306447	50.966002	open
Cccefalon	2014-10-16	117.206679	6.622503	open
Cccefalon	after 1370date QS:P571,+1370-00-00T00:00:00Z/7,P1319,+1370-00-00T00:00:00Z/9	6.082803	50.775036	open
Cccefalon	before 1461date QS:P571,+1461-00-00T00:00:00Z/7,P1326,+1461-00-00T00:00:00Z/9	6.082803	50.775036	open
Cccefalon	between circa 1360 and circa 1370date QS:P571,+1350-00-00T00:00:00Z/7,P1319,+1360-00-00T00:00:00Z/9,P1326,+1370-00-00T00:00:00Z/9,P1480,Q5727902	6.082803	50.775036	open
The Squirrel Conspiracy	2012-08-06	34.105834	44.963490	open
The Squirrel Conspiracy	2012-08-14	33.991573	44.696431	open
The Squirrel Conspiracy	2013-06-23	-118.278755	34.023910	open
